"";"Starost";"Izobrazba";"Spol";"Leto";"Odstotki"
"123";"Starost 65+";"Srednješolska poklicna";"Moški";2011;11,7
"124";"Starost 65+";"Srednješolska poklicna";"Ženske";2011;26,3
"125";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2011;4
"126";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2011;10,5
"127";"Starost 65+";"Višješolska, visokošolska";"Moški";2011;1,4
"128";"Starost 65+";"Višješolska, visokošolska";"Ženske";2011;2,3
"129";"Starost 16+";"Osnovnošolska ali manj";"Moški";2012;22
"130";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2012;29,2
"131";"Starost 16+";"Srednješolska poklicna";"Moški";2012;14,6
"132";"Starost 16+";"Srednješolska poklicna";"Ženske";2012;16,9
"133";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2012;8,6
"134";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2012;10,9
"135";"Starost 16+";"Višješolska, visokošolska";"Moški";2012;4
"136";"Starost 16+";"Višješolska, visokošolska";"Ženske";2012;3,2
"137";"Starost 18+";"Osnovnošolska ali manj";"Moški";2012;23,4
"138";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2012;31
"139";"Starost 18+";"Srednješolska poklicna";"Moški";2012;14,6
"140";"Starost 18+";"Srednješolska poklicna";"Ženske";2012;16,8
"141";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2012;8,6
"142";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2012;10,9
"143";"Starost 18+";"Višješolska, visokošolska";"Moški";2012;4
"144";"Starost 18+";"Višješolska, visokošolska";"Ženske";2012;3,2
"145";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2012;22,2
"146";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2012;23,4
"147";"Starost 18-64";"Srednješolska poklicna";"Moški";2012;14,6
"148";"Starost 18-64";"Srednješolska poklicna";"Ženske";2012;15,4
"149";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2012;9,2
"150";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2012;11,3
"151";"Starost 18-64";"Višješolska, visokošolska";"Moški";2012;4,4
"152";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2012;3,4
"153";"Starost 65+";"Osnovnošolska ali manj";"Moški";2012;29,1
"154";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2012;41,7
"155";"Starost 65+";"Srednješolska poklicna";"Moški";2012;14,6
"156";"Starost 65+";"Srednješolska poklicna";"Ženske";2012;22,8
"157";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2012;4
"158";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2012;8,8
"159";"Starost 65+";"Višješolska, visokošolska";"Moški";2012;2,7
"160";"Starost 65+";"Višješolska, visokošolska";"Ženske";2012;1,5
"161";"Starost 16+";"Osnovnošolska ali manj";"Moški";2013;24
"162";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2013;32,2
"163";"Starost 16+";"Srednješolska poklicna";"Moški";2013;15,5
"164";"Starost 16+";"Srednješolska poklicna";"Ženske";2013;18,8
"165";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2013;10,7
"166";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2013;11
"167";"Starost 16+";"Višješolska, visokošolska";"Moški";2013;4,2
"168";"Starost 16+";"Višješolska, visokošolska";"Ženske";2013;4,1
"169";"Starost 18+";"Osnovnošolska ali manj";"Moški";2013;25,9
"170";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2013;33,9
"171";"Starost 18+";"Srednješolska poklicna";"Moški";2013;15,5
"172";"Starost 18+";"Srednješolska poklicna";"Ženske";2013;18,8
"173";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2013;10,7
"174";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2013;11
"175";"Starost 18+";"Višješolska, visokošolska";"Moški";2013;4,2
"176";"Starost 18+";"Višješolska, visokošolska";"Ženske";2013;4,1
"177";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2013;24,5
"178";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2013;24,9
"179";"Starost 18-64";"Srednješolska poklicna";"Moški";2013;15,2
"180";"Starost 18-64";"Srednješolska poklicna";"Ženske";2013;17,2
"181";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2013;11,5
"182";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2013;11,8
"183";"Starost 18-64";"Višješolska, visokošolska";"Moški";2013;4,4
"184";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2013;4,6
"185";"Starost 65+";"Osnovnošolska ali manj";"Moški";2013;31,8
"186";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2013;45,2
"187";"Starost 65+";"Srednješolska poklicna";"Moški";2013;17,1
"188";"Starost 65+";"Srednješolska poklicna";"Ženske";2013;24,7
"189";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2013;4,4
"190";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2013;7
"191";"Starost 65+";"Višješolska, visokošolska";"Moški";2013;3,5
"192";"Starost 65+";"Višješolska, visokošolska";"Ženske";2013;0,7
"193";"Starost 16+";"Osnovnošolska ali manj";"Moški";2014;23,5
"194";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2014;29,1
"195";"Starost 16+";"Srednješolska poklicna";"Moški";2014;16,6
"196";"Starost 16+";"Srednješolska poklicna";"Ženske";2014;19,8
"197";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2014;10,8
"198";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2014;11,2
"199";"Starost 16+";"Višješolska, visokošolska";"Moški";2014;4,3
"200";"Starost 16+";"Višješolska, visokošolska";"Ženske";2014;5,4
"201";"Starost 18+";"Osnovnošolska ali manj";"Moški";2014;25,1
"202";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2014;30,2
"203";"Starost 18+";"Srednješolska poklicna";"Moški";2014;16,5
"204";"Starost 18+";"Srednješolska poklicna";"Ženske";2014;19,8
"205";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2014;10,8
"206";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2014;11,2
"207";"Starost 18+";"Višješolska, visokošolska";"Moški";2014;4,3
"208";"Starost 18+";"Višješolska, visokošolska";"Ženske";2014;5,4
"209";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2014;24,9
"210";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2014;23,9
"211";"Starost 18-64";"Srednješolska poklicna";"Moški";2014;17,3
"212";"Starost 18-64";"Srednješolska poklicna";"Ženske";2014;20,2
"213";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2014;11,4
"214";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2014;12,3
"215";"Starost 18-64";"Višješolska, visokošolska";"Moški";2014;5,1
"216";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2014;6
"217";"Starost 65+";"Osnovnošolska ali manj";"Moški";2014;25,9
"218";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2014;38,3
"219";"Starost 65+";"Srednješolska poklicna";"Moški";2014;13,5
"220";"Starost 65+";"Srednješolska poklicna";"Ženske";2014;18,8
"221";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2014;5,4
"222";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2014;4,7
"223";"Starost 65+";"Višješolska, visokošolska";"Moški";2014;0,9
"224";"Starost 65+";"Višješolska, visokošolska";"Ženske";2014;1,5
"225";"Starost 16+";"Osnovnošolska ali manj";"Moški";2015;23,6
"226";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2015;31,5
"227";"Starost 16+";"Srednješolska poklicna";"Moški";2015;15,8
"228";"Starost 16+";"Srednješolska poklicna";"Ženske";2015;20,3
"229";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2015;9,9
"230";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2015;10,4
"231";"Starost 16+";"Višješolska, visokošolska";"Moški";2015;4,8
"232";"Starost 16+";"Višješolska, visokošolska";"Ženske";2015;6,5
"233";"Starost 18+";"Osnovnošolska ali manj";"Moški";2015;25,3
"234";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2015;33
"235";"Starost 18+";"Srednješolska poklicna";"Moški";2015;15,8
"236";"Starost 18+";"Srednješolska poklicna";"Ženske";2015;20,3
"237";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2015;9,9
"238";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2015;10,4
"239";"Starost 18+";"Višješolska, visokošolska";"Moški";2015;4,8
"240";"Starost 18+";"Višješolska, visokošolska";"Ženske";2015;6,5
"241";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2015;24,8
"242";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2015;26,5
"243";"Starost 18-64";"Srednješolska poklicna";"Moški";2015;16,6
"244";"Starost 18-64";"Srednješolska poklicna";"Ženske";2015;21,8
"245";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2015;10,6
"246";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2015;11,4
